eno,ename,salary,deptno,doj
10,Amber,1000.56,10,2018-05-14
2,Amar,1000,10,2017-03-22
10,Amber,1000.56,10,2018-05-14
10,Amber,1000.56,10,2018-05-14
10,Amber,1000.56,10,2018-05-14
8,Sagar,1000,20,2020-11-30
4,Thomas,1000,10,2019-08-18
5,Jade,2000,10,2021-02-10
6,Smith,1000,10,2016-12-01
7,Robert,3000,20,2023-06-25
3,Nick,1000.89,30,2015-09-15
9,Naman,4000,30,2020-01-20
1,Vikas,1000,30,2017-10-03
11,Dennis,41000,20,2024-01-05
12,Karan,2200,20,2018-06-16
13,Simran,1500,10,2019-12-19
14,Amit,2000,30,2022-04-09
15,Neha,1700,20,2021-07-22
