eno,ename_x,salary_x,deptno_x,doj_x,eno1,ename_y,salary_y,deptno_y,doj_y
1.0,Vikas,1000.0,30.0,2017-10-03,,,,,
2.0,Amar,1000.0,10.0,2017-03-22,2.0,Amar,1000.0,10.0,2017-03-22
2.0,Amar,1000.0,10.0,2017-03-22,2.0,Amar,1000.0,10.0,2017-03-22
3.0,Nick,1000.0,30.0,2015-09-15,,,,,
4.0,Thomas,1000.0,10.0,2019-08-18,4.0,Thomas,1000.0,10.0,2019-08-18
4.0,Thomas,1000.0,10.0,2019-08-18,4.0,Thomas,1000.0,10.0,2019-08-18
5.0,Jade,2000.0,10.0,2021-02-10,,,,,
6.0,Smith,1000.0,10.0,2016-12-01,,,,,
7.0,Robert,3000.0,20.0,2023-06-25,,,,,
8.0,Sagar,1000.0,20.0,2020-11-30,8.0,Sagar,1000.0,20.0,2020-11-30
8.0,Sagar,1000.0,20.0,2020-11-30,8.0,Sagar,1000.0,20.0,2020-11-30
9.0,Naman,4000.0,30.0,2020-01-20,,,,,
10.0,Amber,1000.0,10.0,2018-05-14,10.0,Amber,1000.0,10.0,2018-05-14
10.0,Amber,1000.0,10.0,2018-05-14,10.0,Amber,1000.0,10.0,2018-05-14
11.0,Dennis,41000.0,20.0,2024-01-05,,,,,
12.0,Karan,2200.0,20.0,2018-06-16,,,,,
13.0,Simran,1500.89,10.0,2019-12-19,,,,,
14.0,Amit,2000.0,30.0,2022-04-09,,,,,
15.0,Neha,1700.9,20.0,2021-07-22,,,,,
,,,,,95.0,Rakshith,1890.0,12.0,2019-08-18
